FECHA_VENTA,DIA_COMERCIAL,CIUDAD,DEPARTAMENTO,TIPO,MARCA,VALOR_TOTAL
2021-06-01,1,AGUACHICA,CESAR,TELEFONO,XIAOMI,795520.0
2021-06-02,0,ARBOLETES,ANTIOQUIA,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,FUSAGASUGA,CUNDINAMARCA,TELEFONO,MOTOROLA,768520.0
2021-06-02,0,BARRANQUILLA,ATLANTICO,TELEFONO,XIAOMI,795520.0
2021-06-01,1,LOS PALMITOS,SUCRE,TELEFONO,SAMSUNG,432520.0
2021-06-01,1,CALI,VALLE DEL CAUCA,TELEFONO,SAMSUNG,1150571.0
2021-06-01,1,LORICA,CORDOBA,TELEFONO,XIAOMI,795520.0
2021-06-01,1,CUMARAL,META,TELEFONO,XIAOMI,958520.0
2021-06-01,1,BARRANQUILLA,ATLANTICO,TELEFONO,XIAOMI,433520.0
2021-06-01,1,ARMENIA,QUINDIO,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,VILLAVICENCIO,META,TELEFONO,SAMSUNG,1150571.0
2021-06-02,0,MEDELLIN,ANTIOQUIA,TELEFONO,XIAOMI,795520.0
2021-06-01,1,LA PALMA,CUNDINAMARCA,TELEFONO,SAMSUNG,795520.0
2021-06-01,1,UBATE,CUNDINAMARCA,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,BELLO,ANTIOQUIA,TELEFONO,XIAOMI,795520.0
2021-06-02,0,COROZAL,SUCRE,TELEFONO,XIAOMI,795520.0
2021-06-01,1,VILLA DEL ROSARIO,NORTE DE SANTANDER,TELEFONO,SAMSUNG,795520.0
2021-06-01,1,MEDELLIN,ANTIOQUIA,TELEFONO,XIAOMI,795520.0
2021-06-01,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,NORCASIA,CALDAS,TELEFONO,SAMSUNG,795520.0
2021-06-08,0,CARTAGENA,BOLIVAR,TELEFONO,SAMSUNG,1150571.0
2021-06-04,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-04,0,AGUADAS,CALDAS,TELEFONO,SAMSUNG,637520.0
2021-06-01,1,LORICA,CORDOBA,TELEFONO,XIAOMI,393520.0
2021-06-01,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,XIAOMI,795520.0
2021-06-01,1,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-01,1,YARUMAL,ANTIOQUIA,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,LA PRIMAVERA,VICHADA,TELEFONO,XIAOMI,1801520.0
2021-06-02,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,SAMSUNG,795520.0
2021-06-02,0,MEDELLIN,ANTIOQUIA,TELEFONO,XIAOMI,795520.0
2021-06-02,0,BOGOTA D.C.,BOGOTA D.C.,TELEFONO,XIAOMI,795520.0
