cod_trans,cod_rest,fecha_trans,valor_trans,latitud,longitud,canal,medio,comision
0000119087-074602,115,2023-04-21,54700,3.3688247,-76.518265,CallCenter,CallCenter,5470.0
KFCCO712513983,115,2023-04-21,26800,3.376427,-76.528214,Web,Web,2680.0
0001121466-010401,115,2023-04-21,54800,3.3654658,-76.5158405,App,Ios,6028.0
KFCCO451322565,115,2023-04-21,27700,3.394525,-76.512833,Web,Web,2770.0
KFCCO364464553,115,2023-04-21,13800,3.389579,-76.529846,Web,Web,1380.0
0000119138-074602,115,2023-04-21,52300,3.3713529,-76.5241538,CallCenter,CallCenter,5230.0
0000119152-074602,115,2023-04-21,52300,3.3719667,-76.5073152,CallCenter,CallCenter,5230.0
0000119153-074602,115,2023-04-21,36700,3.3858486,-76.5214579,CallCenter,CallCenter,3670.0
0000119159-074602,115,2023-04-21,42600,3.383238,-76.5184741,CallCenter,CallCenter,4260.0
0000119162-074602,115,2023-04-21,56700,3.3858486,-76.5214579,CallCenter,CallCenter,5670.0
25275429_tt,115,2023-04-21,33700,3.3966202,-76.5101566,TICTUK,TICTUK,4044.0
0001121676-010401,115,2023-04-21,40800,3.3578691,-76.5166002,App,Android,4488.0
0001121709-010401,115,2023-04-21,20800,3.3799683601926,-76.5168995596468,App,Android,2288.0
0000119228-074602,115,2023-04-22,19800,3.3815664,-76.5202021,CallCenter,CallCenter,1980.0
0001078203-010401,115,2023-03-18,44800,3.3693904876708984,-76.52165032642841,App,Ios,4928.0
KFCCO250830404,115,2023-03-18,54800,3.386007,-76.520004,Web,Web,5480.0
23699112_tt,115,2023-03-18,69800,3.375247,-76.52173700000002,TICTUK,TICTUK,8376.0
KFCCO205514178,115,2023-03-18,60800,3.365994,-76.519661,Web,Web,6080.0
KFCCO869974133,115,2023-03-18,65900,3.383411,-76.521782,Web,Web,6590.0
0000108370-074602,115,2023-03-18,44800,3.3759431,-76.5196711,CallCenter,CallCenter,4480.0
0001078384-010401,115,2023-03-18,30700,3.3798242,-76.5196688,App,Android,3377.0
0001078460-010401,115,2023-03-18,44800,3.3827473995985824,-76.511096265167,App,Android,4928.0
KFCCO033039209,115,2023-03-18,36600,3.371268,-76.51693,Web,Web,3660.0
0001078579-010401,115,2023-03-18,50700,3.3802452,-76.5160962,App,Android,5577.0
0001078367-010401,115,2023-03-18,64800,3.3773151,-76.5261959,App,Android,7128.0
KFCCO339515759,115,2023-03-18,77600,3.370735,-76.506935,Web,Web,7760.0
0000108469-074602,115,2023-03-18,46800,3.383238,-76.5184741,CallCenter,CallCenter,4680.0
KFCCO420672947,115,2023-03-18,35400,3.356741,-76.517685,Web,Web,3540.0
0001078588-010401,115,2023-03-18,64800,3.365930557251,-76.5235199107809,App,Ios,7128.0
0001078701-010401,115,2023-03-18,38300,3.3719343,-76.5049849,App,Android,4213.0
0000108622-074602,115,2023-03-18,86400,3.383238,-76.5184741,CallCenter,CallCenter,8640.0
0001078696-010401,115,2023-03-18,36300,3.3690357208252,-76.5202708906391,App,Ios,3993.0
23712078_tt,115,2023-03-18,54800,3.3691946,-76.510272,TICTUK,TICTUK,6576.0
0000108562-074602,115,2023-03-18,44800,3.3594198,-76.5189634,CallCenter,CallCenter,4480.0
0000108588-074602,115,2023-03-18,64800,3.383238,-76.5184741,CallCenter,CallCenter,6480.0
0001079096-010401,115,2023-03-18,23900,3.3757030308929,-76.5221999399364,App,Android,2629.0
0001079108-010401,115,2023-03-18,78900,3.3867015838622,-76.5156946145888,App,Ios,8679.0
0001079171-010401,115,2023-03-18,53700,3.3741110000000147,-76.5060863,App,Ios,5907.0
KFCCO094651188,115,2023-03-18,59700,3.380542,-76.519867,Web,Web,5970.0
0000108686-074602,115,2023-03-18,64800,3.383238,-76.5184741,CallCenter,CallCenter,6480.0
0001079257-010401,115,2023-03-18,44300,3.3591313,-76.5168565,App,Android,4873.0
0000108708-074602,115,2023-03-18,23300,3.3816537,-76.5333673,CallCenter,CallCenter,2330.0
0000108718-074602,115,2023-03-18,34800,3.3814621,-76.5201037,CallCenter,CallCenter,3480.0
KFCCO245755541,115,2023-03-19,94800,3.368825,-76.518265,Web,Web,9480.0
0000108824-074602,115,2023-03-19,60900,3.3821851,-76.5351042,CallCenter,CallCenter,6090.0
0000108856-074602,115,2023-03-19,86400,3.383238,-76.5184741,CallCenter,CallCenter,8640.0
KFCCO743783925,115,2023-03-19,55300,3.392261,-76.533592,Web,Web,5530.0
0000108861-074602,115,2023-03-19,64600,3.390772,-76.5300365,CallCenter,CallCenter,6460.0
0001079915-010401,115,2023-03-19,25800,3.3873982234656,-76.5146780303314,App,Ios,2838.0
0000108963-074602,115,2023-03-19,64800,3.383238,-76.5184741,CallCenter,CallCenter,6480.0
KFCCO789860387,115,2023-03-19,73800,3.369668,-76.514664,Web,Web,7380.0
0000108973-074602,115,2023-03-19,86400,3.3783354,-76.5212809,CallCenter,CallCenter,8640.0
0001080229-010401,115,2023-03-19,82800,3.3813998465738857,-76.5159416757524,App,Android,9108.0
0001080342-010401,115,2023-03-19,37700,3.3909368,-76.5337319,App,Android,4147.0
0000109085-074602,115,2023-03-19,25400,3.3809312,-76.5171197,CallCenter,CallCenter,2540.0
KFCCO316375982,115,2023-03-19,46700,3.380034,-76.508034,Web,Web,4670.0
23763082_tt,115,2023-03-19,78200,3.3640281,-76.5238713,TICTUK,TICTUK,9384.0
0001080525-010401,115,2023-03-19,35200,3.3802818,-76.5143436,App,Ios,3872.0
0001080790-010401,115,2023-03-19,44800,3.3582174763971,-76.518831755966,App,Android,4928.0
0001080947-010401,115,2023-03-19,44800,3.36927,-76.51742,App,Android,4928.0
0001081003-010401,115,2023-03-19,65600,3.375246199051,-76.5055500962701,App,Ios,7216.0
0001081026-010401,115,2023-03-19,57700,3.3807896,-76.5367431,App,Ios,6347.0
KFCCO214097989,115,2023-03-19,101400,3.369776,-76.517082,Web,Web,10140.0
0000109250-074602,115,2023-03-19,100900,3.3864305,-76.5146616,CallCenter,CallCenter,10090.0
23793268_tt,115,2023-03-19,108700,3.3882276,-76.53064619999999,TICTUK,TICTUK,13044.0
0001080676-010401,115,2023-03-19,49700,3.3834207,-76.5215682,App,Android,5467.0
KFCCO975154557,115,2023-03-19,54800,3.355851,-76.521759,Web,Web,5480.0
KFCCO064304559,115,2023-03-20,24900,3.359907,-76.517189,Web,Web,2490.0
0001081198-010401,115,2023-03-20,83400,3.3725293341179,-76.523615541056,App,Ios,9174.0
0001081125-010401,115,2023-03-20,24900,3.3661627,-76.5112747,App,Android,2739.0
KFCCO895653432,115,2023-03-20,96000,3.366674,-76.515785,Web,Web,9600.0
0000109381-074602,115,2023-03-20,49900,3.383238,-76.5184741,CallCenter,CallCenter,4990.0
0000109418-074602,115,2023-03-20,51400,3.383238,-76.5184741,CallCenter,CallCenter,5140.0
0000109356-074602,115,2023-03-20,60900,3.3640224,-76.5238767,CallCenter,CallCenter,6090.0
KFCCO247073017,115,2023-03-20,72400,3.381292,-76.52639,Web,Web,7240.0
KFCCO659813487,115,2023-03-20,29900,3.38698,-76.52108,Web,Web,2990.0
KFCCO467328469,115,2023-03-20,55900,3.382179,-76.528275,Web,Web,5590.0
0001081673-010401,115,2023-03-20,80100,3.3596542943794,-76.5184528939426,App,Android,8811.0
0000109455-074602,115,2023-03-20,30800,3.3809312,-76.5171197,CallCenter,CallCenter,3080.0
KFCCO216230819,115,2023-03-20,32700,3.373254,-76.505852,Web,Web,3270.0
KFCCO262773389,115,2023-03-20,22900,3.370158,-76.523102,Web,Web,2290.0
0000109553-074602,115,2023-03-20,65900,3.390772,-76.5300365,CallCenter,CallCenter,6590.0
KFCCO364007722,115,2023-03-20,24900,3.356451,-76.520851,Web,Web,2490.0
0000109549-074602,115,2023-03-20,42800,3.3851303,-76.5355915,CallCenter,CallCenter,4280.0
0001082296-010401,115,2023-03-20,69800,3.381181286794,-76.5192954428494,App,Android,7678.0
0000109566-074602,115,2023-03-20,67900,3.383238,-76.5184741,CallCenter,CallCenter,6790.0
0001082499-010401,115,2023-03-20,24900,3.3730406,-76.5157815,App,Android,2739.0
KFCCO417966832,115,2023-03-20,39900,3.379458,-76.523506,Web,Web,3990.0
0001082701-010401,115,2023-03-20,23900,3.364766,-76.5223698,App,Ios,2629.0
23827782_tt,115,2023-03-20,56000,3.3663801,-76.51704149999999,TICTUK,TICTUK,6720.0
0000109634-074602,115,2023-03-20,46800,3.3851316,-76.5220875,CallCenter,CallCenter,4680.0
0001082879-010401,115,2023-03-20,24900,3.3755667,-76.5174379,App,Android,2739.0
KFCCO411237868,115,2023-03-20,39900,3.385641,-76.519592,Web,Web,3990.0
0001082925-010401,115,2023-03-20,24900,3.3755667,-76.5174379,App,Android,2739.0
0001082949-010401,115,2023-03-20,24900,3.380096435546879,-76.5153693706879,App,Ios,2739.0
KFCCO979000603,115,2023-03-20,49900,3.386114,-76.515762,Web,Web,4990.0
